Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20I8RduZC2PWMWTDCZuuAN,"Take Me Out","Franz Ferdinand","Franz Ferdinand",2004-02-16,237026,84,false,,2026-01-12T01:24:56Z,"indie rock","Domino Recording Co",0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
spotify:track:6brl7bwOHmGFkNw3MBqssT,"So Sick","In My Own Words","Ne-Yo",2006-01-01,207186,81,false,,2026-01-09T05:06:05Z,"","Def Soul",0.452,0.574,6,-8.336,1,0.311,0.245,0,0.189,0.578,92.795,4
spotify:track:4NOZ35Dhucr6UlVyLOtktd,"Dangerous","Not 4 Sale","Kardinal Offishall;Akon",2008-01-01,246053,80,true,,2026-01-08T02:30:47Z,"","Konvict Live/Geffen Records",0.949,0.789,8,-5.956,1,0.0755,0.00437,0,0.0816,0.808,117.002,4
spotify:track:2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,78,false,,2026-01-06T14:38:57Z,"indie,lo-fi indie","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
spotify:track:2xGGpmywtvPY3h7JkcwP1E,"Deep Green","Suspension of Disbelief","Christian Kuria",2022-11-29,203181,54,false,,2026-01-06T14:38:01Z,"","Arimé",0.548,0.644,2,-5.621,1,0.026,0.0883,0.0000854,0.0834,0.466,87.798,4
spotify:track:7ySUcLPVX7KudhnmNcgY2D,"S&M","Loud","Rihanna",2010-01-01,243600,85,true,,2026-01-05T21:57:52Z,"","Def Jam Recordings",0.769,0.685,1,-5.019,1,0.041,0.0105,0.000124,0.0887,0.836,127.977,4
spotify:track:0On1SxfkvTOfzvjVgFLK7V,"Obsolete","Deadbeat","Tame Impala",2025-10-17,263640,67,true,,2026-01-05T07:57:18Z,"neo-psychedelic,indie","Columbia",0.76,0.829,8,-2.966,0,0.0422,0.334,0.00102,0.1,0.915,103.587,4
spotify:track:0QZ5yyl6B6utIWkxeBDxQN,"The Night We Met","Strange Trails","Lord Huron",2015-04-07,208211,6,false,,2026-01-05T07:51:36Z,"","IAMSOUND",0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
spotify:track:38Iyh76wXf4TRnMJ7yZAod,"Nothing's Gonna Change My Love For You","Covers, Vol. 1","REYNE",2022-02-18,203382,48,false,,2026-01-05T06:56:31Z,"opm,harana,pinoy r&b","Reyne L.",0.514,0.363,1,-9.895,1,0.0326,0.82,0,0.0933,0.24,135.67,4
spotify:track:7jaYiqwCFQDdtxfQaSzZuM,"Meditation (feat. Jazmine Sullivan & KAYTRANADA)","At What Cost","GoldLink;Jazmine Sullivan;KAYTRANADA",2017-03-24,258784,47,true,,2026-01-03T23:21:42Z,"r&b","Squaaash Club/RCA Records",0.849,0.703,4,-7.069,0,0.193,0.0303,0,0.0831,0.405,115.052,4
